TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
WAS,WAS @ BOS,2024-04-14,L,12,33,14,27,51.9,3,6,50.0,2,2,100.0,1,8,9,9,2,6,2,5,8,0
UTA,UTA @ GSW,2024-04-14,L,12,27,11,23,47.8,3,7,42.9,2,2,100.0,4,8,12,5,6,1,1,8,-1,0
TOR,TOR @ MIA,2024-04-14,L,12,32,10,24,41.7,4,10,40.0,8,8,100.0,3,12,15,7,3,2,0,4,8,0
SAS,SAS vs. DET,2024-04-14,W,12,30,12,20,60.0,2,6,33.3,4,6,66.7,2,6,8,7,2,1,1,6,-2,1
SAC,SAC vs. POR,2024-04-14,W,12,22,9,22,40.9,0,5,0.0,4,6,66.7,4,9,13,4,5,2,1,8,-2,1
POR,POR @ SAC,2024-04-14,L,12,24,8,24,33.3,3,11,27.3,5,6,83.3,6,9,15,5,5,3,1,5,2,0
PHX,PHX @ MIN,2024-04-14,W,12,36,14,21,66.7,5,7,71.4,3,3,100.0,3,7,10,9,3,2,0,3,8,0
PHI,PHI vs. BKN,2024-04-14,W,12,26,11,24,45.8,2,12,16.7,2,4,50.0,5,12,17,8,7,3,0,5,4,1
ORL,ORL vs. MIL,2024-04-14,W,12,33,11,18,61.1,5,11,45.5,6,6,100.0,2,9,11,8,5,5,1,4,16,1
OKC,OKC vs. DAL,2024-04-14,W,12,27,11,21,52.4,5,8,62.5,0,0,0.0,1,8,9,9,5,1,2,3,-2,1
NYK,NYK vs. CHI,2024-04-14,W,12,33,12,21,57.1,5,9,55.6,4,6,66.7,5,8,13,8,3,0,1,3,6,1
NOP,NOP vs. LAL,2024-04-14,L,12,31,13,22,59.1,4,8,50.0,1,3,33.3,4,8,12,8,6,2,1,7,6,1
MIN,MIN vs. PHX,2024-04-14,L,12,28,11,25,44.0,1,7,14.3,5,5,100.0,7,4,11,7,2,1,1,3,-8,1
MIL,MIL @ ORL,2024-04-14,L,12,17,8,19,42.1,1,7,14.3,0,0,0.0,1,4,5,6,6,4,0,5,-16,0
MIA,MIA vs. TOR,2024-04-14,W,12,24,10,24,41.7,1,13,7.7,3,4,75.0,3,9,12,4,5,1,2,5,-8,1
MEM,MEM vs. DEN,2024-04-14,L,12,36,14,22,63.6,4,10,40.0,4,6,66.7,1,8,9,8,3,1,1,5,4,1
LAL,LAL @ NOP,2024-04-14,W,12,25,6,18,33.3,0,4,0.0,13,13,100.0,3,7,10,3,4,3,1,2,-6,0
LAC,LAC vs. HOU,2024-04-14,L,12,22,9,31,29.0,4,17,23.5,0,0,0.0,5,9,14,6,2,3,4,4,-9,1
IND,IND vs. ATL,2024-04-14,W,12,32,13,21,61.9,6,10,60.0,0,0,0.0,1,9,10,10,4,3,0,6,10,1
HOU,HOU @ LAC,2024-04-14,W,12,31,14,26,53.8,2,6,33.3,1,4,25.0,2,16,18,10,3,1,2,1,9,0
GSW,GSW vs. UTA,2024-04-14,W,12,28,10,23,43.5,1,9,11.1,7,9,77.8,5,8,13,9,2,3,3,3,1,1
DET,DET @ SAS,2024-04-14,L,12,32,11,21,52.4,4,9,44.4,6,7,85.7,4,6,10,5,2,0,0,4,2,0
DEN,DEN @ MEM,2024-04-14,W,12,32,11,20,55.0,2,7,28.6,8,9,88.9,1,8,9,8,4,3,0,6,-4,0
DAL,DAL @ OKC,2024-04-14,L,12,29,11,25,44.0,3,8,37.5,4,4,100.0,4,8,12,6,3,3,0,2,2,0
CLE,CLE vs. CHA,2024-04-14,L,12,14,6,19,31.6,2,8,25.0,0,1,0.0,2,9,11,2,7,0,0,2,-18,1
CHI,CHI @ NYK,2024-04-14,L,12,27,13,22,59.1,1,5,20.0,0,1,0.0,1,4,5,7,0,3,0,5,-6,0
CHA,CHA @ CLE,2024-04-14,W,12,32,12,23,52.2,5,11,45.5,3,4,75.0,2,12,14,7,1,5,3,4,18,0
BOS,BOS vs. WAS,2024-04-14,W,12,25,11,21,52.4,1,4,25.0,2,5,40.0,2,11,13,6,8,2,5,2,-8,1
BKN,BKN @ PHI,2024-04-14,L,12,22,7,19,36.8,2,11,18.2,6,8,75.0,0,9,9,6,4,5,1,3,-4,0
ATL,ATL @ IND,2024-04-14,L,12,22,8,22,36.4,3,10,30.0,3,4,75.0,3,7,10,6,6,2,0,0,-10,0
WAS,WAS vs. CHI,2024-04-12,L,12,32,12,22,54.5,3,9,33.3,5,7,71.4,0,12,12,7,4,1,1,11,1,1
UTA,UTA @ LAC,2024-04-12,W,12,24,9,21,42.9,1,6,16.7,5,5,100.0,3,9,12,7,6,2,1,3,0,0
TOR,TOR @ MIA,2024-04-12,L,12,28,10,20,50.0,3,9,33.3,5,7,71.4,1,10,11,6,4,1,1,3,-5,0
SAS,SAS vs. DEN,2024-04-12,W,12,34,12,24,50.0,4,5,80.0,6,9,66.7,8,11,19,9,4,0,3,3,14,1
SAC,SAC vs. PHX,2024-04-12,L,12,22,7,20,35.0,4,9,44.4,4,4,100.0,4,6,10,4,3,1,0,7,-8,1
POR,POR vs. HOU,2024-04-12,L,12,32,10,28,35.7,1,10,10.0,11,14,78.6,8,10,18,4,1,0,1,6,0,1
PHX,PHX @ SAC,2024-04-12,W,12,30,10,19,52.6,3,10,30.0,7,8,87.5,2,6,8,7,1,2,2,4,8,0
PHI,PHI vs. ORL,2024-04-12,W,12,29,11,21,52.4,2,6,33.3,5,8,62.5,2,8,10,4,3,1,1,3,-1,1
ORL,ORL @ PHI,2024-04-12,L,12,30,13,27,48.1,2,7,28.6,2,2,100.0,3,9,12,8,1,2,2,6,1,0
OKC,OKC vs. MIL,2024-04-12,W,12,30,11,20,55.0,4,10,40.0,4,4,100.0,1,8,9,7,5,2,0,6,6,1
