index,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT,Opponent,OppPTS,OppFGM,OppFGA,OppFG%,Opp3PM,Opp3PA,Opp3P%,OppFTM,OppFTA,OppFT%,OppOREB,OppDREB,OppREB,OppAST,OppTOV,OppSTL,OppBLK,OppPF,Pos,OppPos,Pace,OFFRTG,DEFRTG,Margin,formatted_date,week_of_season
0,WAS,WAS @ BOS,2024-04-14,L,12,33,14,27,51.9,3,6,50.0,2,2,100.0,1,8,9,9,2,6,2,5,8,0,BOS,25,11,21,52.4,1,4,25.0,2,5,40.0,2,11,13,6,8,2,5,2,28.750416666666666,28.750416666666666,115.00166666666667,114.78094520369271,86.95526151794901,-10,2024-04-14,25
1,UTA,UTA @ GSW,2024-04-14,L,12,27,11,23,47.8,3,7,42.9,2,2,100.0,4,8,12,5,6,1,1,8,-1,0,GSW,28,10,23,43.5,1,9,11.1,7,9,77.8,5,8,13,9,2,3,3,3,24.384999999999998,24.384999999999998,97.53999999999999,110.72380561820792,114.82468730777117,-7,2024-04-14,25
6,PHX,PHX @ MIN,2024-04-14,W,12,36,14,21,66.7,5,7,71.4,3,3,100.0,3,7,10,9,3,2,0,3,8,0,MIN,28,11,25,44.0,1,7,14.3,5,5,100.0,7,4,11,7,2,1,1,3,21.75,21.75,87.0,165.51724137931035,128.73563218390805,19,2024-04-14,25
7,PHI,PHI vs. BKN,2024-04-14,W,12,26,11,24,45.8,2,12,16.7,2,4,50.0,5,12,17,8,7,3,0,5,4,1,BKN,22,7,19,36.8,2,11,18.2,6,8,75.0,0,9,9,6,4,5,1,3,26.916071428571428,26.916071428571428,107.66428571428571,96.59656339149473,81.73555363895709,21,2024-04-14,25
8,ORL,ORL vs. MIL,2024-04-14,W,12,33,11,18,61.1,5,11,45.5,6,6,100.0,2,9,11,8,5,5,1,4,16,1,MIL,17,8,19,42.1,1,7,14.3,0,0,0.0,1,4,5,6,6,4,0,5,23.363166666666665,23.363166666666665,93.45266666666666,141.247975802367,72.76410874667391,25,2024-04-14,25
10,NYK,NYK vs. CHI,2024-04-14,W,12,33,12,21,57.1,5,9,55.6,4,6,66.7,5,8,13,8,3,0,1,3,6,1,CHI,27,13,22,59.1,1,5,20.0,0,1,0.0,1,4,5,7,0,3,0,5,21.189999999999998,21.189999999999998,84.75999999999999,155.7338367154318,127.4185936762624,0,2024-04-14,25
12,MIN,MIN vs. PHX,2024-04-14,L,12,28,11,25,44.0,1,7,14.3,5,5,100.0,7,4,11,7,2,1,1,3,-8,1,PHX,36,14,21,66.7,5,7,71.4,3,3,100.0,3,7,10,9,3,2,0,3,21.75,21.75,87.0,128.73563218390805,165.51724137931035,-19,2024-04-14,25
13,MIL,MIL @ ORL,2024-04-14,L,12,17,8,19,42.1,1,7,14.3,0,0,0.0,1,4,5,6,6,4,0,5,-16,0,ORL,33,11,18,61.1,5,11,45.5,6,6,100.0,2,9,11,8,5,5,1,4,23.363166666666665,23.363166666666665,93.45266666666666,72.76410874667391,141.247975802367,-25,2024-04-14,25
15,MEM,MEM vs. DEN,2024-04-14,L,12,36,14,22,63.6,4,10,40.0,4,6,66.7,1,8,9,8,3,1,1,5,4,1,DEN,32,11,20,55.0,2,7,28.6,8,9,88.9,1,8,9,8,4,3,0,6,26.489444444444445,26.489444444444445,105.95777777777778,135.9031899498752,120.8028355110002,-15,2024-04-14,25
17,LAC,LAC vs. HOU,2024-04-14,L,12,22,9,31,29.0,4,17,23.5,0,0,0.0,5,9,14,6,2,3,4,4,-9,1,HOU,31,14,26,53.8,2,6,33.3,1,4,25.0,2,16,18,10,3,1,2,1,27.830346320346322,27.830346320346322,111.32138528138529,79.05039968516724,111.389199556372,-11,2024-04-14,25
19,HOU,HOU @ LAC,2024-04-14,W,12,31,14,26,53.8,2,6,33.3,1,4,25.0,2,16,18,10,3,1,2,1,9,0,LAC,22,9,31,29.0,4,17,23.5,0,0,0.0,5,9,14,6,2,3,4,4,27.830346320346322,27.830346320346322,111.32138528138529,111.389199556372,79.05039968516724,11,2024-04-14,25
20,GSW,GSW vs. UTA,2024-04-14,W,12,28,10,23,43.5,1,9,11.1,7,9,77.8,5,8,13,9,2,3,3,3,1,1,UTA,27,11,23,47.8,3,7,42.9,2,2,100.0,4,8,12,5,6,1,1,8,24.384999999999998,24.384999999999998,97.53999999999999,114.82468730777117,110.72380561820792,7,2024-04-14,25
22,DEN,DEN @ MEM,2024-04-14,W,12,32,11,20,55.0,2,7,28.6,8,9,88.9,1,8,9,8,4,3,0,6,-4,0,MEM,36,14,22,63.6,4,10,40.0,4,6,66.7,1,8,9,8,3,1,1,5,26.489444444444445,26.489444444444445,105.95777777777778,120.8028355110002,135.9031899498752,15,2024-04-14,25
24,CLE,CLE vs. CHA,2024-04-14,L,12,14,6,19,31.6,2,8,25.0,0,1,0.0,2,9,11,2,7,0,0,2,-18,1,CHA,32,12,23,52.2,5,11,45.5,3,4,75.0,2,12,14,7,1,5,3,4,23.93642857142857,23.93642857142857,95.74571428571429,58.488257587060964,133.6874459132822,-10,2024-04-14,25
25,CHI,CHI @ NYK,2024-04-14,L,12,27,13,22,59.1,1,5,20.0,0,1,0.0,1,4,5,7,0,3,0,5,-6,0,NYK,33,12,21,57.1,5,9,55.6,4,6,66.7,5,8,13,8,3,0,1,3,21.189999999999998,21.189999999999998,84.75999999999999,127.4185936762624,155.7338367154318,0,2024-04-14,25
26,CHA,CHA @ CLE,2024-04-14,W,12,32,12,23,52.2,5,11,45.5,3,4,75.0,2,12,14,7,1,5,3,4,18,0,CLE,14,6,19,31.6,2,8,25.0,0,1,0.0,2,9,11,2,7,0,0,2,23.93642857142857,23.93642857142857,95.74571428571429,133.6874459132822,58.488257587060964,10,2024-04-14,25
27,BOS,BOS vs. WAS,2024-04-14,W,12,25,11,21,52.4,1,4,25.0,2,5,40.0,2,11,13,6,8,2,5,2,-8,1,WAS,33,14,27,51.9,3,6,50.0,2,2,100.0,1,8,9,9,2,6,2,5,28.750416666666666,28.750416666666666,115.00166666666667,86.95526151794901,114.78094520369271,10,2024-04-14,25
28,BKN,BKN @ PHI,2024-04-14,L,12,22,7,19,36.8,2,11,18.2,6,8,75.0,0,9,9,6,4,5,1,3,-4,0,PHI,26,11,24,45.8,2,12,16.7,2,4,50.0,5,12,17,8,7,3,0,5,26.916071428571428,26.916071428571428,107.66428571428571,81.73555363895709,96.59656339149473,-21,2024-04-14,25
30,WAS,WAS vs. CHI,2024-04-12,L,12,32,12,22,54.5,3,9,33.3,5,7,71.4,0,12,12,7,4,1,1,11,1,1,CHI,31,8,18,44.4,3,10,30.0,12,19,63.2,2,11,13,5,3,2,1,6,27.935714285714287,27.935714285714287,111.74285714285715,114.54870877013552,110.96906162106876,-2,2024-04-12,25
31,UTA,UTA @ LAC,2024-04-12,W,12,24,9,21,42.9,1,6,16.7,5,5,100.0,3,9,12,7,6,2,1,3,0,0,LAC,24,11,27,40.7,2,13,15.4,0,0,0.0,7,5,12,8,4,4,3,5,23.8475,23.8475,95.39,100.6394800293532,100.6394800293532,1,2024-04-12,25
32,TOR,TOR @ MIA,2024-04-12,L,12,28,10,20,50.0,3,9,33.3,5,7,71.4,1,10,11,6,4,1,1,3,-5,0,MIA,33,11,24,45.8,5,11,45.5,6,6,100.0,3,10,13,10,3,2,0,5,26.008636363636363,26.008636363636363,104.03454545454545,107.65654765025603,126.88093115923034,-22,2024-04-12,25
33,SAS,SAS vs. DEN,2024-04-12,W,12,34,12,24,50.0,4,5,80.0,6,9,66.7,8,11,19,9,4,0,3,3,14,1,DEN,20,9,22,40.9,1,5,20.0,1,1,100.0,1,5,6,5,3,3,2,9,23.969647435897436,23.969647435897436,95.87858974358974,141.84605798198308,83.43885763646064,1,2024-04-12,25
34,SAC,SAC vs. PHX,2024-04-12,L,12,22,7,20,35.0,4,9,44.4,4,4,100.0,4,6,10,4,3,1,0,7,-8,1,PHX,30,10,19,52.6,3,10,30.0,7,8,87.5,2,6,8,7,1,2,2,4,19.914250000000003,19.914250000000003,79.65700000000001,110.47365579923922,150.64589427168983,-1,2024-04-12,25
35,POR,POR vs. HOU,2024-04-12,L,12,32,10,28,35.7,1,10,10.0,11,14,78.6,8,10,18,4,1,0,1,6,0,1,HOU,32,10,22,45.5,3,11,27.3,9,11,81.8,1,8,9,6,0,0,1,10,25.101363636363637,25.101363636363637,100.40545454545455,127.48311391992466,127.48311391992466,-9,2024-04-12,25
36,PHX,PHX @ SAC,2024-04-12,W,12,30,10,19,52.6,3,10,30.0,7,8,87.5,2,6,8,7,1,2,2,4,8,0,SAC,22,7,20,35.0,4,9,44.4,4,4,100.0,4,6,10,4,3,1,0,7,19.914250000000003,19.914250000000003,79.65700000000001,150.64589427168983,110.47365579923922,1,2024-04-12,25
37,PHI,PHI vs. ORL,2024-04-12,W,12,29,11,21,52.4,2,6,33.3,5,8,62.5,2,8,10,4,3,1,1,3,-1,1,ORL,30,13,27,48.1,2,7,28.6,2,2,100.0,3,9,12,8,1,2,2,6,24.984545454545454,24.984545454545454,99.93818181818182,116.07175344758578,120.07422770439908,12,2024-04-12,25
38,ORL,ORL @ PHI,2024-04-12,L,12,30,13,27,48.1,2,7,28.6,2,2,100.0,3,9,12,8,1,2,2,6,1,0,PHI,29,11,21,52.4,2,6,33.3,5,8,62.5,2,8,10,4,3,1,1,3,24.984545454545454,24.984545454545454,99.93818181818182,120.07422770439908,116.07175344758578,-12,2024-04-12,25
39,OKC,OKC vs. MIL,2024-04-12,W,12,30,11,20,55.0,4,10,40.0,4,4,100.0,1,8,9,7,5,2,0,6,6,1,MIL,24,9,19,47.4,2,8,25.0,4,4,100.0,1,8,9,5,6,5,1,4,25.470555555555556,25.470555555555556,101.88222222222223,117.78306105088664,94.22644884070931,18,2024-04-12,25
40,NYK,NYK vs. BKN,2024-04-12,W,12,27,8,19,42.1,0,3,0.0,11,14,78.6,4,5,9,3,1,3,2,4,-4,1,BKN,31,11,20,55.0,2,7,28.6,7,9,77.8,4,7,11,6,3,0,1,9,21.82,21.82,87.28,123.73968835930339,142.07149404216315,4,2024-04-12,25
41,NOP,NOP @ GSW,2024-04-12,W,12,26,9,20,45.0,4,7,57.1,4,5,80.0,1,6,7,4,3,4,1,4,-8,0,GSW,34,11,21,52.4,6,11,54.5,6,7,85.7,4,10,14,7,4,2,2,4,23.725,23.725,94.9,109.58904109589041,143.30874604847205,5,2024-04-12,25
42,MIN,MIN vs. ATL,2024-04-12,W,12,29,11,18,61.1,1,5,20.0,6,10,60.0,1,10,11,7,5,3,4,2,3,1,ATL,26,11,25,44.0,3,8,37.5,1,1,100.0,2,6,8,4,7,2,0,7,27.916666666666664,27.916666666666664,111.66666666666666,103.88059701492539,93.13432835820896,3,2024-04-12,25
43,MIL,MIL @ OKC,2024-04-12,L,12,24,9,19,47.4,2,8,25.0,4,4,100.0,1,8,9,5,6,5,1,4,-6,0,OKC,30,11,20,55.0,4,10,40.0,4,4,100.0,1,8,9,7,5,2,0,6,25.470555555555556,25.470555555555556,101.88222222222223,94.22644884070931,117.78306105088664,-18,2024-04-12,25
44,MIA,MIA vs. TOR,2024-04-12,W,12,33,11,24,45.8,5,11,45.5,6,6,100.0,3,10,13,10,3,2,0,5,5,1,TOR,28,10,20,50.0,3,9,33.3,5,7,71.4,1,10,11,6,4,1,1,3,26.008636363636363,26.008636363636363,104.03454545454545,126.88093115923034,107.65654765025603,22,2024-04-12,25
45,MEM,MEM vs. LAL,2024-04-12,L,12,23,8,21,38.1,2,7,28.6,5,6,83.3,5,8,13,2,5,3,0,9,-2,1,LAL,25,7,19,36.8,1,10,10.0,10,14,71.4,5,6,11,2,4,2,2,6,22.869405594405592,22.869405594405592,91.47762237762237,100.57104416227747,109.3163523503016,-3,2024-04-12,25
46,LAL,LAL @ MEM,2024-04-12,W,12,25,7,19,36.8,1,10,10.0,10,14,71.4,5,6,11,2,4,2,2,6,2,0,MEM,23,8,21,38.1,2,7,28.6,5,6,83.3,5,8,13,2,5,3,0,9,22.869405594405592,22.869405594405592,91.47762237762237,109.3163523503016,100.57104416227747,3,2024-04-12,25
47,LAC,LAC vs. UTA,2024-04-12,L,12,24,11,27,40.7,2,13,15.4,0,0,0.0,7,5,12,8,4,4,3,5,0,1,UTA,24,9,21,42.9,1,6,16.7,5,5,100.0,3,9,12,7,6,2,1,3,23.8475,23.8475,95.39,100.6394800293532,100.6394800293532,-1,2024-04-12,25
48,IND,IND @ CLE,2024-04-12,L,12,26,10,23,43.5,2,10,20.0,4,4,100.0,2,8,10,7,2,0,0,7,-6,0,CLE,32,10,23,43.5,5,11,45.5,7,11,63.6,4,9,13,5,2,2,0,2,24.41712121212121,24.41712121212121,97.66848484848484,106.48265933615882,131.05558072142625,-9,2024-04-12,25
