TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
WAS,WAS @ BOS,2024-04-14,L,36,89,35,76,0.4605263157894737,11,32,0.34375,8,8,1.0,7,20,27,24,10,3,2,11,-18,0
UTA,UTA @ GSW,2024-04-14,L,36,89,35,66,0.5303030303030303,11,27,0.4074074074074074,8,14,0.5714285714285714,10,26,36,17,14,5,4,12,-6,0
TOR,TOR @ MIA,2024-04-14,L,36,71,28,66,0.42424242424242425,5,24,0.20833333333333334,10,13,0.7692307692307693,10,16,26,16,16,4,3,17,-23,0
SAS,SAS vs. DET,2024-04-14,W,36,93,37,71,0.5211267605633803,13,28,0.4642857142857143,6,8,0.75,10,36,46,26,12,8,2,11,30,1
SAC,SAC vs. POR,2024-04-14,W,36,99,34,65,0.5230769230769231,13,29,0.4482758620689655,18,21,0.8571428571428571,9,29,38,25,9,9,5,11,41,1
POR,POR @ SAC,2024-04-14,L,36,58,23,74,0.3108108108108108,4,34,0.11764705882352941,8,11,0.7272727272727273,17,22,39,13,13,8,1,14,-41,0
PHX,PHX @ MIN,2024-04-14,W,36,89,33,65,0.5076923076923077,11,22,0.5,12,15,0.8,10,12,22,19,10,11,3,21,11,0
PHI,PHI vs. BKN,2024-04-14,W,36,81,30,72,0.4166666666666667,12,32,0.375,9,11,0.8181818181818182,8,32,40,22,7,5,6,11,17,1
ORL,ORL vs. MIL,2024-04-14,W,36,80,31,67,0.4626865671641791,6,24,0.25,12,13,0.9230769230769231,5,27,32,19,9,6,4,14,9,1
OKC,OKC vs. DAL,2024-04-14,W,36,108,43,76,0.5657894736842105,9,26,0.34615384615384615,13,16,0.8125,10,39,49,29,10,5,4,14,51,1
NYK,NYK vs. CHI,2024-04-14,W,36,76,30,63,0.47619047619047616,6,22,0.2727272727272727,10,13,0.7692307692307693,9,22,31,17,13,6,3,11,-6,1
NOP,NOP vs. LAL,2024-04-14,L,36,77,28,64,0.4375,11,29,0.3793103448275862,10,11,0.9090909090909091,6,21,27,18,13,6,0,10,-22,1
MIN,MIN vs. PHX,2024-04-14,L,36,78,25,45,0.5555555555555556,8,19,0.42105263157894735,20,26,0.7692307692307693,5,20,25,15,22,6,4,17,-11,1
MIL,MIL @ ORL,2024-04-14,L,36,71,22,56,0.39285714285714285,6,20,0.3,21,23,0.9130434782608695,6,23,29,10,11,6,4,13,-9,0
MIA,MIA vs. TOR,2024-04-14,W,36,94,36,63,0.5714285714285714,8,23,0.34782608695652173,14,15,0.9333333333333333,10,24,34,25,14,12,5,11,23,1
MEM,MEM vs. DEN,2024-04-14,L,36,75,31,78,0.3974358974358974,4,23,0.17391304347826086,9,12,0.75,15,19,34,14,10,8,1,13,-19,1
LAL,LAL @ NOP,2024-04-14,W,36,99,42,69,0.6086956521739131,11,25,0.44,4,5,0.8,4,25,29,29,11,9,2,11,22,0
LAC,LAC vs. HOU,2024-04-14,L,36,83,32,73,0.4383561643835616,4,20,0.2,15,17,0.8823529411764706,11,26,37,17,10,10,4,10,-2,1
IND,IND vs. ATL,2024-04-14,W,36,125,52,79,0.6582278481012658,13,26,0.5,8,10,0.8,11,27,38,31,12,7,6,18,32,1
HOU,HOU @ LAC,2024-04-14,W,36,85,36,77,0.4675324675324675,9,32,0.28125,4,10,0.4,15,26,41,21,15,6,6,12,2,0
GSW,GSW vs. UTA,2024-04-14,W,36,95,35,71,0.49295774647887325,13,34,0.38235294117647056,12,14,0.8571428571428571,7,22,29,26,7,7,3,11,6,1
DET,DET @ SAS,2024-04-14,L,36,63,25,71,0.352112676056338,4,24,0.16666666666666666,9,13,0.6923076923076923,7,23,30,12,12,7,3,5,-30,0
DEN,DEN @ MEM,2024-04-14,W,36,94,35,69,0.5072463768115942,10,29,0.3448275862068966,14,17,0.8235294117647058,15,30,45,24,14,6,5,11,19,0
DAL,DAL @ OKC,2024-04-14,L,36,57,21,72,0.2916666666666667,5,31,0.16129032258064516,10,13,0.7692307692307693,8,21,29,13,12,5,2,13,-51,0
CLE,CLE vs. CHA,2024-04-14,L,36,96,38,74,0.5135135135135135,14,25,0.56,6,8,0.75,10,22,32,28,7,4,1,6,8,1
CHI,CHI @ NYK,2024-04-14,L,36,82,33,67,0.4925373134328358,6,22,0.2727272727272727,10,12,0.8333333333333334,12,24,36,16,11,9,3,14,6,0
CHA,CHA @ CLE,2024-04-14,W,36,88,34,68,0.5,14,29,0.4827586206896552,6,7,0.8571428571428571,8,25,33,29,9,5,6,7,-8,0
BOS,BOS vs. WAS,2024-04-14,W,36,107,40,68,0.5882352941176471,15,28,0.5357142857142857,12,16,0.75,8,27,35,23,9,8,10,11,18,1
BKN,BKN @ PHI,2024-04-14,L,36,64,25,64,0.390625,7,23,0.30434782608695654,7,9,0.7777777777777778,4,29,33,13,9,3,5,11,-17,0
ATL,ATL @ IND,2024-04-14,L,36,93,31,67,0.4626865671641791,9,26,0.34615384615384615,22,23,0.9565217391304348,6,16,22,19,11,4,5,12,-32,0
WAS,WAS vs. CHI,2024-04-12,L,36,95,33,64,0.515625,15,34,0.4411764705882353,14,22,0.6363636363636364,4,23,27,25,8,5,4,11,-3,1
UTA,UTA @ LAC,2024-04-12,W,36,86,32,67,0.47761194029850745,5,29,0.1724137931034483,17,20,0.85,11,23,34,19,12,5,3,11,1,0
TOR,TOR @ MIA,2024-04-12,L,36,75,27,57,0.47368421052631576,7,22,0.3181818181818182,14,15,0.9333333333333333,6,24,30,17,13,0,0,18,-17,0
SAS,SAS vs. DEN,2024-04-12,W,36,87,33,61,0.5409836065573771,11,28,0.39285714285714285,10,14,0.7142857142857143,3,27,30,22,14,2,1,10,-13,1
SAC,SAC vs. PHX,2024-04-12,L,36,85,33,71,0.4647887323943662,10,29,0.3448275862068966,9,10,0.9,5,20,25,22,4,11,1,12,7,1
POR,POR vs. HOU,2024-04-12,L,36,75,27,67,0.40298507462686567,11,25,0.44,10,15,0.6666666666666666,8,22,30,16,6,4,4,8,-9,1
PHX,PHX @ SAC,2024-04-12,W,36,78,30,57,0.5263157894736842,9,22,0.4090909090909091,9,9,1.0,4,29,33,18,18,2,2,12,-7,0
PHI,PHI vs. ORL,2024-04-12,W,36,96,31,67,0.4626865671641791,16,31,0.5161290322580645,18,20,0.9,6,28,34,18,10,5,5,17,13,1
ORL,ORL @ PHI,2024-04-12,L,36,83,30,68,0.4411764705882353,6,20,0.3,17,23,0.7391304347826086,7,26,33,17,10,5,5,15,-13,0
OKC,OKC vs. MIL,2024-04-12,W,36,95,36,69,0.5217391304347826,9,28,0.32142857142857145,14,16,0.875,7,22,29,22,5,11,5,6,12,1
NYK,NYK vs. BKN,2024-04-12,W,36,84,30,64,0.46875,14,27,0.5185185185185185,10,11,0.9090909090909091,4,18,22,18,4,7,1,11,8,1
NOP,NOP @ GSW,2024-04-12,W,36,88,33,70,0.4714285714285714,16,31,0.5161290322580645,6,11,0.5454545454545454,4,27,31,20,6,7,4,9,13,0
MIN,MIN vs. ATL,2024-04-12,W,36,80,27,61,0.4426229508196721,9,32,0.28125,17,19,0.8947368421052632,6,27,33,22,9,5,7,20,0,1
MIL,MIL @ OKC,2024-04-12,L,36,83,33,66,0.5,9,22,0.4090909090909091,8,9,0.8888888888888888,7,26,33,22,13,2,2,11,-12,0
MIA,MIA vs. TOR,2024-04-12,W,36,92,34,62,0.5483870967741935,12,30,0.4,12,17,0.7058823529411765,3,21,24,27,4,5,2,11,17,1
