index,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT,Opponent,OppPTS,OppFGM,OppFGA,OppFG%,Opp3PM,Opp3PA,Opp3P%,OppFTM,OppFTA,OppFT%,OppOREB,OppDREB,OppREB,OppAST,OppTOV,OppSTL,OppBLK,OppPF,Pos,OppPos,Pace,OFFRTG,DEFRTG,Margin,formatted_date,week_of_season,PTS/Q
0,WAS,WAS @ BOS,2024-04-14,L,36,89,35,76,0.4605263157894737,11,32,0.34375,8,8,1.0,7,20,27,24,10,3,2,11,-18,0,BOS,107,40,68,0.5882352941176471,15,28,0.5357142857142857,12,16,0.75,8,27,35,23,9,8,10,11,77.50397058823529,77.50397058823529,103.33862745098038,114.83282640168342,138.0574429773048,-10,2024-04-14,25,29.666666666666668
1,UTA,UTA @ GSW,2024-04-14,L,36,89,35,66,0.5303030303030303,11,27,0.4074074074074074,8,14,0.5714285714285714,10,26,36,17,14,5,4,12,-6,0,GSW,95,35,71,0.4929577464788732,13,34,0.3823529411764705,12,14,0.8571428571428571,7,22,29,26,7,7,3,11,75.33173295454546,75.33173295454546,100.4423106060606,118.14410276968121,126.10887374291815,-7,2024-04-14,25,29.666666666666668
6,PHX,PHX @ MIN,2024-04-14,W,36,89,33,65,0.5076923076923077,11,22,0.5,12,15,0.8,10,12,22,19,10,11,3,21,11,0,MIN,78,25,45,0.5555555555555556,8,19,0.4210526315789473,20,26,0.7692307692307693,5,20,25,15,22,6,4,17,70.34627450980392,70.34627450980392,93.79503267973855,126.51700551334298,110.88007224764888,19,2024-04-14,25,29.666666666666668
7,PHI,PHI vs. BKN,2024-04-14,W,36,81,30,72,0.4166666666666667,12,32,0.375,9,11,0.8181818181818182,8,32,40,22,7,5,6,11,17,1,BKN,64,25,64,0.390625,7,23,0.3043478260869565,7,9,0.7777777777777778,4,29,33,13,9,3,5,11,72.8232882882883,72.8232882882883,97.09771771771773,111.2281550365348,87.88397434985467,21,2024-04-14,25,27.0
8,ORL,ORL vs. MIL,2024-04-14,W,36,80,31,67,0.4626865671641791,6,24,0.25,12,13,0.9230769230769232,5,27,32,19,9,6,4,14,9,1,MIL,71,22,56,0.3928571428571428,6,20,0.3,21,23,0.9130434782608696,6,23,29,10,11,6,4,13,71.95344155844157,71.95344155844157,95.93792207792208,111.18300704911093,98.67491875608594,25,2024-04-14,25,26.666666666666668
10,NYK,NYK vs. CHI,2024-04-14,W,36,76,30,63,0.4761904761904761,6,22,0.2727272727272727,10,13,0.7692307692307693,9,22,31,17,13,6,3,11,-6,1,CHI,82,33,67,0.4925373134328358,6,22,0.2727272727272727,10,12,0.8333333333333334,12,24,36,16,11,9,3,14,70.765,70.765,94.35333333333332,107.39772486398644,115.87649261640642,0,2024-04-14,25,25.333333333333332
12,MIN,MIN vs. PHX,2024-04-14,L,36,78,25,45,0.5555555555555556,8,19,0.4210526315789473,20,26,0.7692307692307693,5,20,25,15,22,6,4,17,-11,1,PHX,89,33,65,0.5076923076923077,11,22,0.5,12,15,0.8,10,12,22,19,10,11,3,21,70.34627450980392,70.34627450980392,93.79503267973855,110.88007224764888,126.51700551334298,-19,2024-04-14,25,26.0
13,MIL,MIL @ ORL,2024-04-14,L,36,71,22,56,0.3928571428571428,6,20,0.3,21,23,0.9130434782608696,6,23,29,10,11,6,4,13,-9,0,ORL,80,31,67,0.4626865671641791,6,24,0.25,12,13,0.9230769230769232,5,27,32,19,9,6,4,14,71.95344155844157,71.95344155844157,95.93792207792208,98.67491875608594,111.18300704911093,-25,2024-04-14,25,23.666666666666668
15,MEM,MEM vs. DEN,2024-04-14,L,36,75,31,78,0.3974358974358974,4,23,0.1739130434782608,9,12,0.75,15,19,34,14,10,8,1,13,-19,1,DEN,94,35,69,0.5072463768115942,10,29,0.3448275862068966,14,17,0.8235294117647058,15,30,45,24,14,6,5,11,74.89333333333333,74.89333333333333,99.85777777777777,100.14242478191207,125.51183905999643,-15,2024-04-14,25,25.0
17,LAC,LAC vs. HOU,2024-04-14,L,36,83,32,73,0.4383561643835616,4,20,0.2,15,17,0.8823529411764706,11,26,37,17,10,10,4,10,-2,1,HOU,85,36,77,0.4675324675324675,9,32,0.28125,4,10,0.4,15,26,41,21,15,6,6,12,78.35378378378378,78.35378378378378,104.4717117117117,105.92979176224264,108.48231686494726,-11,2024-04-14,25,27.666666666666668
